epoch,train_loss,test_loss,acc1,acc5,unfrozen_neurons,total_params,unfrozen_params,epoch_time
1,1.1526292562484741,0.5837125778198242,79.69999694824219,98.93000030517578,17066,2202570,2202570,54.76167845726013
2,0.5630269646644592,0.42966750264167786,85.16999816894531,99.47999572753906,17066,2202570,2202570,54.89329671859741
3,0.4397749900817871,0.36722949147224426,87.08999633789062,99.68999481201172,16843,2202570,2151926,54.22328281402588
4,0.3741450905799866,0.322063148021698,89.0199966430664,99.75,16738,2202570,2127167,54.81689524650574
5,0.3320542275905609,0.30166134238243103,89.3699951171875,99.75,16757,2202570,2132067,54.79654884338379
6,0.299401193857193,0.2832997441291809,90.1500015258789,99.79999542236328,16664,2202570,2130196,55.31432628631592
7,0.2725214660167694,0.27255937457084656,90.44999694824219,99.86000061035156,16005,2202570,2016889,55.0947585105896
8,0.25196149945259094,0.2641374468803406,90.95999908447266,99.8699951171875,15824,2202570,1981571,55.43965792655945
9,0.23528070747852325,0.25831684470176697,91.15999603271484,99.8499984741211,15938,2202570,2008615,55.4676718711853
10,0.21767021715641022,0.24971728026866913,91.6500015258789,99.87999725341797,15779,2202570,1983811,55.299124002456665
11,0.20731350779533386,0.24057698249816895,91.73999786376953,99.88999938964844,15751,2202570,1983607,55.2553973197937
12,0.1967986673116684,0.2405681312084198,92.05999755859375,99.8699951171875,15760,2202570,1970855,55.234091997146606
13,0.18593549728393555,0.2364400029182434,92.22999572753906,99.86000061035156,16022,2202570,2009053,55.22384238243103
14,0.17401279509067535,0.2322513461112976,92.3699951171875,99.88999938964844,15894,2202570,1989080,55.2443733215332
15,0.1662837713956833,0.23132944107055664,92.23999786376953,99.90999603271484,15923,2202570,2003971,55.200085163116455
16,0.15706932544708252,0.22769220173358917,92.54999542236328,99.87999725341797,16005,2202570,2015726,55.16295385360718
17,0.1505134254693985,0.2281729131937027,92.68000030517578,99.9000015258789,16120,2202570,2016086,55.26576614379883
18,0.14621323347091675,0.22623185813426971,92.70999908447266,99.90999603271484,16389,2202570,2065654,55.48431158065796
19,0.1342661827802658,0.22670522332191467,92.66999816894531,99.9000015258789,16401,2202570,2068930,55.26453495025635
20,0.12988780438899994,0.2228415459394455,92.8499984741211,99.90999603271484,16255,2202570,2041070,55.14563989639282
21,0.1234821304678917,0.22464679181575775,92.72999572753906,99.91999816894531,16443,2202570,2078045,55.25961256027222
22,0.11711017042398453,0.22080688178539276,93.15999603271484,99.91999816894531,16248,2202570,2038786,55.26140832901001
23,0.11215978115797043,0.22289372980594635,92.97000122070312,99.9000015258789,16016,2202570,2003409,54.93524527549744
24,0.10828524082899094,0.22030216455459595,93.13999938964844,99.91999816894531,15787,2202570,1981544,54.905522108078
25,0.10109294205904007,0.22464793920516968,92.9000015258789,99.93000030517578,15986,2202570,2001695,55.15771985054016
26,0.10033528506755829,0.22478963434696198,93.04000091552734,99.90999603271484,15895,2202570,1989111,55.19378113746643
27,0.09278321266174316,0.22617575526237488,93.04999542236328,99.93999481201172,15987,2202570,1987894,55.042327880859375
28,0.0888187363743782,0.2250676155090332,93.20999908447266,99.93000030517578,16072,2202570,2013066,55.027546882629395
29,0.08619821816682816,0.2291717529296875,93.18999481201172,99.91999816894531,15906,2202570,2012992,55.193779945373535
30,0.08235155045986176,0.22977764904499054,93.1199951171875,99.9000015258789,16456,2202570,2090770,55.2741916179657
31,0.07867873460054398,0.22716015577316284,93.15999603271484,99.93000030517578,16597,2202570,2121664,55.17143368721008
32,0.07533828169107437,0.23253817856311798,93.06999969482422,99.93000030517578,16199,2202570,2037469,55.07434391975403
33,0.0720280334353447,0.2284071445465088,93.16999816894531,99.93999481201172,15775,2202570,1968537,55.22216439247131
34,0.07138462364673615,0.22996072471141815,93.20999908447266,99.91999816894531,15777,2202570,1964764,55.42471265792847
35,0.06577429920434952,0.2338516116142273,93.36000061035156,99.91999816894531,15822,2202570,1990076,55.17151880264282
36,0.06302410364151001,0.23374491930007935,93.1500015258789,99.90999603271484,15827,2202570,1989300,55.01259398460388
37,0.06279981881380081,0.23526917397975922,93.33999633789062,99.91999816894531,15666,2202570,1971835,55.00483846664429
38,0.05964544788002968,0.2375226765871048,93.29999542236328,99.93999481201172,16339,2202570,2061745,55.25479197502136
39,0.056024160236120224,0.23591437935829163,93.33999633789062,99.91999816894531,16763,2202570,2137275,55.35078430175781
40,0.05734078958630562,0.23820249736309052,93.25,99.91999816894531,16708,2202570,2129154,55.15060496330261
41,0.05062869191169739,0.23632268607616425,93.33999633789062,99.93000030517578,16154,2202570,2028984,55.04813766479492
42,0.051552094519138336,0.23957990109920502,93.38999938964844,99.93999481201172,15809,2202570,1991213,55.10352349281311
43,0.048527128994464874,0.23622725903987885,93.32999420166016,99.93000030517578,15747,2202570,1973281,55.08492946624756
