epoch,train_loss,test_loss,acc1,acc5,unfrozen_neurons,total_params,unfrozen_params,epoch_time
1,2.2482106685638428,1.9352940320968628,30.5,84.56999969482422,1706,2202570,220683,53.35978960990906
2,1.927862524986267,1.8255857229232788,36.91999816894531,85.47000122070312,1706,2202570,220683,52.95943593978882
3,1.8158378601074219,1.7301703691482544,41.97999954223633,86.66999816894531,1706,2202570,220683,52.835734605789185
4,1.7167242765426636,1.6005030870437622,44.53999710083008,90.97999572753906,1706,2202570,220683,53.135642528533936
5,1.6470732688903809,1.5436668395996094,46.98999786376953,91.29000091552734,1706,2202570,220683,53.10723304748535
6,1.590735912322998,1.4729410409927368,49.97999954223633,92.83999633789062,1706,2202570,220683,53.042065382003784
7,1.55574369430542,1.4586389064788818,51.13999938964844,92.38999938964844,1706,2202570,220683,53.1023473739624
8,1.4242407083511353,1.3357808589935303,54.53999710083008,94.0199966430664,6,2202570,659,47.94085645675659
9,1.3850032091140747,1.3139811754226685,55.369998931884766,93.98999786376953,6,2202570,659,47.95541262626648
10,1.3668626546859741,1.3156784772872925,54.93000030517578,93.68000030517578,6,2202570,659,48.05505847930908
11,1.3492711782455444,1.2928004264831543,55.7599983215332,93.94999694824219,6,2202570,659,48.11310029029846
12,1.3371084928512573,1.2785532474517822,56.40999984741211,94.44999694824219,6,2202570,659,47.98722577095032
13,1.3337055444717407,1.2649710178375244,56.46999740600586,94.58999633789062,6,2202570,659,47.93654131889343
14,1.3223994970321655,1.247490406036377,57.0099983215332,94.79999542236328,6,2202570,659,47.95281910896301
15,1.676885724067688,1.4689780473709106,53.22999954223633,92.29000091552734,1706,2202570,227938,53.082767486572266
16,1.4639694690704346,1.3498492240905762,56.54999923706055,93.56999969482422,1706,2202570,227938,53.19167613983154
17,1.4069231748580933,1.356555461883545,56.81999969482422,93.9000015258789,1706,2202570,227938,53.12733817100525
18,1.3802694082260132,1.3127541542053223,55.119998931884766,94.83999633789062,1706,2202570,227938,53.05764579772949
19,1.355534315109253,1.347851276397705,59.31999969482422,93.07999420166016,1706,2202570,227938,53.21014857292175
20,1.3432517051696777,1.2248499393463135,60.16999816894531,94.80999755859375,1706,2202570,227938,53.19673466682434
21,1.3316504955291748,1.2792292833328247,59.56999969482422,94.47000122070312,1706,2202570,227938,53.13358688354492
22,1.3173282146453857,1.270384430885315,62.77000045776367,93.56999969482422,1706,2202570,227938,53.16439986228943
23,1.2235183715820312,1.1447933912277222,64.63999938964844,95.63999938964844,6,2202570,659,47.9390344619751
24,1.193363070487976,1.1270020008087158,65.62999725341797,95.75,6,2202570,659,48.20622420310974
25,1.1878478527069092,1.1912002563476562,61.91999816894531,94.83999633789062,6,2202570,659,47.81080102920532
26,1.1858340501785278,1.127681016921997,65.29999542236328,95.90999603271484,6,2202570,659,47.93596363067627
27,1.28951096534729,1.1885627508163452,62.6099967956543,95.54000091552734,1706,2202570,208977,53.05780839920044
28,1.2046631574630737,1.1789650917053223,63.68000030517578,95.93999481201172,1706,2202570,208977,52.94117498397827
29,1.191927433013916,1.1703375577926636,63.31999969482422,96.30999755859375,1706,2202570,208977,53.126715898513794
30,1.1807713508605957,1.1930186748504639,63.779998779296875,95.15999603271484,1706,2202570,208977,53.24473786354065
31,1.1775518655776978,1.1710493564605713,64.47999572753906,95.4000015258789,1706,2202570,208977,53.0743727684021
32,1.1735222339630127,1.114688515663147,67.80999755859375,95.83999633789062,1706,2202570,208977,53.174920082092285
33,1.1518139839172363,1.1391124725341797,67.19999694824219,96.20999908447266,6,2202570,659,47.98860430717468
34,1.1561284065246582,1.141039252281189,67.45999908447266,95.73999786376953,6,2202570,659,48.07688045501709
35,1.1726720333099365,1.1226091384887695,68.08999633789062,96.13999938964844,6,2202570,659,47.790913105010986
36,2.129948139190674,1.742201805114746,47.689998626708984,85.45999908447266,1706,2202570,217403,53.00838375091553
37,1.6486130952835083,1.4512041807174683,55.90999984741211,90.25,1706,2202570,217403,53.03607130050659
38,1.5244776010513306,1.4590433835983276,58.56999969482422,88.19999694824219,1706,2202570,217403,52.93483257293701
39,1.4734584093093872,1.4221771955490112,57.5,91.55999755859375,1706,2202570,217403,52.901453733444214
40,1.4435561895370483,1.4647948741912842,58.13999938964844,89.90999603271484,1706,2202570,217403,52.92601418495178
41,1.414427399635315,1.3718223571777344,62.5099983215332,91.12999725341797,1706,2202570,217403,52.71214056015015
42,1.4786933660507202,1.3002820014953613,62.87999725341797,92.90999603271484,1706,2202570,213948,52.753133058547974
43,1.340074896812439,1.2502280473709106,64.0199966430664,94.77999877929688,1706,2202570,213948,52.85024881362915
44,1.3063400983810425,1.2452040910720825,65.54999542236328,93.88999938964844,1706,2202570,213948,52.84468102455139
45,1.2907413244247437,1.25371515750885,65.30999755859375,92.56999969482422,1706,2202570,213948,52.628649950027466
46,1.2800188064575195,1.2818169593811035,61.959999084472656,95.22000122070312,1706,2202570,213948,52.75153946876526
47,1.2782057523727417,1.3734524250030518,61.71999740600586,93.57999420166016,1706,2202570,213948,52.78424596786499
48,1.5238574743270874,1.3060201406478882,64.72000122070312,93.50999450683594,1706,2202570,224276,52.65650463104248
49,1.3385013341903687,1.2811074256896973,65.54000091552734,93.95999908447266,1706,2202570,224276,52.3942711353302
50,1.3172519207000732,1.257033109664917,67.41999816894531,92.65999603271484,1706,2202570,224276,52.65244746208191
51,1.29454505443573,1.2675809860229492,65.58999633789062,94.68999481201172,1706,2202570,224276,52.52329468727112
52,1.2879314422607422,1.278936743736267,65.7699966430664,93.8499984741211,1706,2202570,224276,52.61946630477905
53,1.341019630432129,1.2916233539581299,65.90999603271484,93.33999633789062,1706,2202570,208977,52.85352063179016
54,1.9952664375305176,1.9183712005615234,40.22999954223633,89.75,1706,2202570,220683,53.096105098724365
55,1.656860113143921,1.5623011589050293,50.54999923706055,91.40999603271484,1706,2202570,220683,52.77329397201538
56,1.551554799079895,1.53497314453125,56.43000030517578,88.27999877929688,1706,2202570,220683,52.880622148513794
57,1.4988737106323242,1.4767017364501953,56.22999954223633,93.50999450683594,1706,2202570,220683,52.76001214981079
58,1.47323739528656,1.4964160919189453,58.97999954223633,90.69999694824219,1706,2202570,220683,52.552966356277466
59,1.444658875465393,1.4615365266799927,57.07999801635742,93.57999420166016,1706,2202570,220683,52.772125244140625
60,1.415945291519165,1.4042800664901733,61.52000045776367,94.04000091552734,1706,2202570,213948,52.80103516578674
61,1.356391191482544,1.3716473579406738,64.23999786376953,93.70999908447266,6,2202570,659,47.33666229248047
62,1.37907075881958,1.3399207592010498,65.76000213623047,94.5199966430664,1706,2202570,213948,52.764572858810425
63,1.6228305101394653,1.4753777980804443,55.77000045776367,92.0999984741211,1706,2202570,225147,52.6427686214447
64,1.3975136280059814,1.3461843729019165,61.2599983215332,92.82999420166016,1706,2202570,225147,52.931429624557495
65,1.3490843772888184,1.3400521278381348,64.18000030517578,92.87999725341797,1706,2202570,225147,52.539313077926636
66,1.3236305713653564,1.2769179344177246,64.72999572753906,94.30999755859375,1706,2202570,225147,52.572805881500244
67,1.6677453517913818,1.5104871988296509,53.689998626708984,90.68000030517578,1706,2202570,227938,52.75511169433594
68,1.41331946849823,1.388501763343811,59.0099983215332,92.05999755859375,1706,2202570,227938,52.77504014968872
69,1.3534806966781616,1.3154762983322144,63.98999786376953,93.27999877929688,1706,2202570,227938,52.650009632110596
