epoch,train_loss,test_loss,acc1,acc5,unfrozen_neurons,total_params,unfrozen_params,epoch_time
1,1.1511937379837036,0.5886613130569458,79.83000183105469,99.04000091552734,17066,2202570,2202570,53.33857202529907
2,0.562667727470398,0.4364381432533264,85.1199951171875,99.55999755859375,17066,2202570,2202570,51.12840723991394
3,0.4364597201347351,0.3686198592185974,87.00999450683594,99.68999481201172,17034,2202570,2196292,51.999948501586914
4,0.37235260009765625,0.32806089520454407,88.47999572753906,99.70999908447266,17001,2202570,2193877,52.76115083694458
5,0.32575011253356934,0.3043515980243683,89.04000091552734,99.75,16977,2202570,2188843,52.74703645706177
6,0.29531627893447876,0.2925242483615875,89.5999984741211,99.81999969482422,16963,2202570,2183382,53.00011110305786
7,0.2683183550834656,0.27636730670928955,90.25,99.79999542236328,16956,2202570,2179746,52.490185260772705
8,0.2470252364873886,0.2713724374771118,90.61000061035156,99.81999969482422,16934,2202570,2173424,52.76592040061951
9,0.23325784504413605,0.2572890520095825,90.97000122070312,99.88999938964844,16932,2202570,2178128,52.61796712875366
10,0.2170863300561905,0.2511329650878906,91.19999694824219,99.8699951171875,16934,2202570,2178377,52.88187789916992
11,0.2025759220123291,0.2472182959318161,91.55999755859375,99.83999633789062,16928,2202570,2172432,52.58935356140137
12,0.19296899437904358,0.2421628087759018,91.8699951171875,99.88999938964844,16927,2202570,2177567,52.57711386680603
13,0.17923390865325928,0.23920361697673798,91.81999969482422,99.88999938964844,16939,2202570,2186523,52.804362773895264
14,0.1692100614309311,0.23571233451366425,92.00999450683594,99.87999725341797,16995,2202570,2192414,52.60471296310425
15,0.16075709462165833,0.2333342283964157,92.1500015258789,99.87999725341797,17029,2202570,2198372,52.852989196777344
16,0.1496197134256363,0.2315169870853424,92.33999633789062,99.88999938964844,17027,2202570,2199049,52.75949239730835
17,0.14640368521213531,0.2310883104801178,92.45999908447266,99.90999603271484,16932,2202570,2182676,52.627691984176636
18,0.13790079951286316,0.23069576919078827,92.29999542236328,99.90999603271484,17002,2202570,2194349,52.74819803237915
19,0.1303870975971222,0.22978082299232483,92.58999633789062,99.91999816894531,17009,2202570,2195114,52.646831035614014
20,0.12333142757415771,0.2283473163843155,92.72000122070312,99.91999816894531,16945,2202570,2181315,52.89553713798523
21,0.11641380190849304,0.2311849147081375,92.7699966430664,99.93000030517578,16964,2202570,2185603,52.75201606750488
22,0.11118397116661072,0.22962434589862823,92.55999755859375,99.93000030517578,16914,2202570,2173127,52.80373573303223
23,0.10756044089794159,0.2282388061285019,92.8499984741211,99.94999694824219,16905,2202570,2172630,52.57996654510498
24,0.09984547644853592,0.22521252930164337,93.0199966430664,99.94999694824219,16918,2202570,2180747,52.481844663619995
25,0.0958012193441391,0.22992831468582153,93.00999450683594,99.93999481201172,16986,2202570,2189561,52.689958572387695
26,0.09292829036712646,0.23223386704921722,92.95999908447266,99.93000030517578,16947,2202570,2183335,49.72227334976196
27,0.08886691182851791,0.23564088344573975,92.83999633789062,99.93000030517578,16904,2202570,2176232,49.756027936935425
28,0.08060858398675919,0.2380101978778839,92.8499984741211,99.90999603271484,16948,2202570,2190247,51.247649908065796
29,0.08075614273548126,0.23432710766792297,93.08999633789062,99.93000030517578,16921,2202570,2179358,51.522008180618286
30,0.07554033398628235,0.2354145348072052,92.97999572753906,99.91999816894531,16978,2202570,2190577,51.52570080757141
31,0.07424584031105042,0.23387624323368073,93.00999450683594,99.91999816894531,16938,2202570,2183736,51.50199270248413
32,0.07093770802021027,0.23519277572631836,92.95999908447266,99.91999816894531,16930,2202570,2180631,51.47429800033569
33,0.06863979995250702,0.24115702509880066,92.91999816894531,99.90999603271484,16966,2202570,2185728,51.521050453186035
34,0.06366843730211258,0.23699702322483063,93.0999984741211,99.90999603271484,16899,2202570,2181880,51.42199635505676
35,0.06299502402544022,0.23544342815876007,93.1500015258789,99.9000015258789,16897,2202570,2175663,51.3888885974884
36,0.059796206653118134,0.2379748523235321,93.18000030517578,99.91999816894531,16955,2202570,2178259,51.41537022590637
37,0.059108931571245193,0.23848305642604828,93.1500015258789,99.9000015258789,16933,2202570,2181350,51.38646912574768
38,0.05482582747936249,0.241948202252388,93.04999542236328,99.88999938964844,16890,2202570,2175862,51.39706349372864
39,0.05096927657723427,0.23971247673034668,93.15999603271484,99.93000030517578,16905,2202570,2175627,51.497894525527954
40,0.05048613250255585,0.24418647587299347,93.13999938964844,99.91999816894531,16929,2202570,2180192,51.46180272102356
41,0.04893704131245613,0.2417675107717514,93.41999816894531,99.9000015258789,16964,2202570,2192442,51.4587299823761
42,0.04596694931387901,0.2419830858707428,93.2699966430664,99.90999603271484,17007,2202570,2195037,51.48992204666138
43,0.04355356842279434,0.24253763258457184,93.15999603271484,99.9000015258789,16946,2202570,2182147,51.30199146270752
44,0.0439872108399868,0.2428491860628128,93.41999816894531,99.93000030517578,16904,2202570,2176457,51.10795736312866
45,0.04348837584257126,0.24800480902194977,93.36000061035156,99.93000030517578,16952,2202570,2181815,51.68475675582886
46,0.04176479950547218,0.24296113848686218,93.41999816894531,99.9000015258789,16936,2202570,2173969,53.37880778312683
47,0.03771274909377098,0.24576404690742493,93.4000015258789,99.91999816894531,16927,2202570,2182366,51.35454058647156
48,0.03696954995393753,0.2503978908061981,93.29000091552734,99.90999603271484,16940,2202570,2182219,51.08692169189453
49,0.03501814231276512,0.25350359082221985,93.20999908447266,99.93000030517578,16901,2202570,2169914,51.07600545883179
50,0.03631940111517906,0.2528981864452362,93.38999938964844,99.9000015258789,16926,2202570,2174106,51.30044150352478
51,0.034847360104322433,0.2527461349964142,93.33999633789062,99.88999938964844,16919,2202570,2176302,51.31990623474121
52,0.03303832188248634,0.25393030047416687,93.4000015258789,99.8699951171875,16922,2202570,2189346,51.031503200531006
53,0.031399551779031754,0.2511186897754669,93.38999938964844,99.88999938964844,16925,2202570,2176867,51.3879816532135
54,0.03229210153222084,0.2594660222530365,93.29999542236328,99.88999938964844,16939,2202570,2179258,51.60211777687073
55,0.03106791153550148,0.25595468282699585,93.50999450683594,99.90999603271484,16930,2202570,2174751,51.555076122283936
56,0.029268477112054825,0.26130884885787964,93.65999603271484,99.90999603271484,16901,2202570,2174576,51.52733540534973
57,0.029329245910048485,0.25890785455703735,93.38999938964844,99.93999481201172,16941,2202570,2178305,51.51702928543091
58,0.028037628158926964,0.2598935067653656,93.30999755859375,99.90999603271484,16967,2202570,2190250,51.48941373825073
59,0.02769637666642666,0.26303157210350037,93.22000122070312,99.87999725341797,16973,2202570,2180926,51.45365571975708
60,0.025403903797268867,0.263500452041626,93.45999908447266,99.93000030517578,17007,2202570,2193796,51.47691607475281
61,0.02470671571791172,0.2615894377231598,93.3699951171875,99.93000030517578,17013,2202570,2198278,51.51173448562622
62,0.025410110130906105,0.2674558460712433,93.43000030517578,99.91999816894531,16953,2202570,2182683,51.46788716316223
63,0.023680442944169044,0.26146015524864197,93.6500015258789,99.90999603271484,16952,2202570,2185665,52.216774463653564
64,0.024036459624767303,0.2663138508796692,93.40999603271484,99.8699951171875,16955,2202570,2188859,51.53599309921265
65,0.02360410988330841,0.2645355463027954,93.54999542236328,99.90999603271484,16892,2202570,2168035,51.428534269332886
66,0.02108675055205822,0.2622832953929901,93.66999816894531,99.86000061035156,16914,2202570,2179343,51.48634219169617
67,0.021450839936733246,0.2607436180114746,93.5199966430664,99.91999816894531,16914,2202570,2173286,51.2023389339447
68,0.022153407335281372,0.26420858502388,93.63999938964844,99.90999603271484,16978,2202570,2188276,51.39121198654175
69,0.02059500850737095,0.2637881338596344,93.47000122070312,99.93999481201172,16998,2202570,2196240,50.13799738883972
70,0.01921638660132885,0.2748480439186096,93.4000015258789,99.9000015258789,17006,2202570,2197131,51.46400594711304
71,0.0212775357067585,0.26631948351860046,93.63999938964844,99.93999481201172,16935,2202570,2178997,51.19428324699402
72,0.018685776740312576,0.2675485610961914,93.43999481201172,99.91999816894531,16936,2202570,2182201,51.38629078865051
73,0.01912158913910389,0.2677381932735443,93.41999816894531,99.90999603271484,16941,2202570,2178786,51.52928566932678
74,0.018846962600946426,0.27238786220550537,93.58999633789062,99.90999603271484,16942,2202570,2184786,51.58141613006592
75,0.019088122993707657,0.2704921364784241,93.65999603271484,99.93999481201172,16959,2202570,2187185,51.43887186050415
76,0.017399996519088745,0.26872768998146057,93.57999420166016,99.93999481201172,16983,2202570,2188845,51.495201587677
77,0.016957635059952736,0.2666275203227997,93.79999542236328,99.91999816894531,16985,2202570,2188181,51.50249981880188
78,0.01734919473528862,0.268435537815094,93.68000030517578,99.93000030517578,16943,2202570,2180317,51.444615840911865
79,0.01720404624938965,0.2682255804538727,93.81999969482422,99.90999603271484,16939,2202570,2176618,51.40012264251709
80,0.01776561513543129,0.2751196324825287,93.52999877929688,99.88999938964844,16919,2202570,2179621,51.4144811630249
81,0.01679239235818386,0.2748264670372009,93.70999908447266,99.91999816894531,17021,2202570,2195629,51.383525133132935
82,0.015253014862537384,0.274123877286911,93.65999603271484,99.87999725341797,16978,2202570,2187971,51.62127947807312
83,0.014694464392960072,0.27088087797164917,93.83999633789062,99.87999725341797,16962,2202570,2187320,51.3281729221344
84,0.01571587100625038,0.26727673411369324,93.75999450683594,99.91999816894531,16966,2202570,2186057,51.157158851623535
85,0.014418039470911026,0.2735430896282196,93.6199951171875,99.9000015258789,16906,2202570,2180606,51.31151628494263
86,0.015049459412693977,0.27473184466362,93.6199951171875,99.90999603271484,16950,2202570,2185355,51.33384037017822
