epoch,train_loss,test_loss,acc1,acc5,unfrozen_neurons,total_params,unfrozen_params,epoch_time
1,1.9779257774353027,1.398728847503662,53.599998474121094,92.41999816894531,3413,2202570,435283,250.65443587303162
2,1.217092514038086,0.9407436847686768,68.16999816894531,97.11000061035156,3413,2202570,430613,248.40215396881104
3,0.9125949740409851,0.751757800579071,74.4800033569336,98.13999938964844,3413,2202570,432315,232.34383368492126
4,0.7666270732879639,0.637028694152832,78.27999877929688,98.86000061035156,3413,2202570,441496,243.07472968101501
5,0.670125424861908,0.5690996050834656,80.52999877929688,99.11000061035156,3413,2202570,440669,263.29210138320923
