epoch,train_loss,test_loss,acc1,acc5,total_params,unfrozen_params,epoch_time
1,1.8583441972732544,1.4541412591934204,46.099998474121094,92.0999984741211,2202570,2202570,54.02050566673279
2,1.637034296989441,1.526197075843811,44.73999786376953,91.77999877929688,2202570,2202570,48.00567936897278
3,1.3749831914901733,1.2550715208053589,54.80999755859375,94.80999755859375,2202570,2202570,47.12053608894348
4,1.2370048761367798,1.0797176361083984,61.28999710083008,96.29999542236328,2202570,2202570,50.381959438323975
5,1.1303250789642334,0.9953029155731201,64.2699966430664,96.5999984741211,2202570,2202570,46.771214723587036
6,1.0505143404006958,1.0616896152496338,63.21999740600586,96.47999572753906,2202570,2202570,47.6434862613678
7,0.988589346408844,0.9052244424819946,68.12999725341797,97.22999572753906,2202570,2202570,45.13960409164429
8,0.9152544140815735,1.0216723680496216,64.9000015258789,96.94999694824219,2202570,2202570,47.49431347846985
9,0.8599584698677063,0.8226027488708496,70.48999786376953,98.02999877929688,2202570,2202570,45.61394381523132
10,0.8152128458023071,0.727077066898346,74.19999694824219,98.5199966430664,2202570,2202570,47.73083448410034
11,0.7940449714660645,0.7582255601882935,73.68999481201172,98.13999938964844,2202570,2202570,47.32569193840027
12,0.7551144957542419,0.7223186492919922,75.06999969482422,98.3699951171875,2202570,2202570,45.95815324783325
