epoch,train_loss,test_loss,acc1,acc5,unfrozen_neurons,total_params,unfrozen_params,epoch_time
1,2.2896368503570557,2.257816791534424,15.75999927520752,64.22999572753906,128,2202570,110135,43.74250268936157
2,2.191014289855957,2.0640039443969727,23.81999969482422,81.90999603271484,128,2202570,110135,44.79011106491089
3,2.202921152114868,2.012213945388794,24.399999618530273,79.40999603271484,922,2202570,110135,50.14664030075073
4,1.9957746267318726,1.8302862644195557,31.60999870300293,86.15999603271484,837,2202570,110127,49.890058755874634
