epoch,train_loss,test_loss,acc1,acc5,unfrozen_neurons,total_params,unfrozen_params,epoch_time
1,1.1301368474960327,0.5800975561141968,79.72999572753906,99.0199966430664,17066,2202570,2202570,55.8945574760437
2,0.5546529293060303,0.422774076461792,85.55999755859375,99.50999450683594,17066,2202570,2202570,55.15354681015015
3,0.4311777651309967,0.3640577495098114,87.4000015258789,99.6500015258789,17066,2202570,2202570,55.30233931541443
4,0.3711388111114502,0.32488417625427246,88.6199951171875,99.75,17066,2202570,2202570,52.92298865318298
5,0.32213088870048523,0.3029651343822479,89.25999450683594,99.75999450683594,17066,2202570,2202570,53.39023447036743
6,0.29318967461586,0.2842392027378082,90.07999420166016,99.80999755859375,17066,2202570,2202570,55.80157446861267
7,0.2704515755176544,0.2687063217163086,90.72999572753906,99.81999969482422,17065,2202570,2201290,55.31877589225769
8,0.24867093563079834,0.26005566120147705,91.07999420166016,99.81999969482422,17058,2202570,2199848,55.74127531051636
9,0.23104923963546753,0.2581389844417572,91.25,99.82999420166016,6,2202570,1689,48.27108693122864
10,0.22780880331993103,0.2568672001361847,91.20999908447266,99.80999755859375,2,2202570,1299,47.38890552520752
11,0.22776059806346893,0.2573295533657074,91.18000030517578,99.80999755859375,1,2202570,1290,47.132691383361816
12,0.2289697378873825,0.2545965611934662,91.3499984741211,99.82999420166016,6,2202570,1389,47.79856896400452
13,0.2253596931695938,0.25479623675346375,91.29999542236328,99.82999420166016,8,2202570,1425,47.36924362182617
14,0.22590024769306183,0.2544233798980713,91.23999786376953,99.82999420166016,2,2202570,46,47.404247760772705
15,0.225878044962883,0.25385457277297974,91.36000061035156,99.8499984741211,0,2202570,10,42.97976303100586
16,0.2242465764284134,0.25440800189971924,91.43000030517578,99.82999420166016,2,2202570,58,43.167941093444824
17,0.2242174595594406,0.2540132999420166,91.3699951171875,99.81999969482422,5,2202570,1392,46.696056604385376
18,0.21899746358394623,0.2531697154045105,91.40999603271484,99.82999420166016,2,2202570,61,43.48755407333374
19,0.2244805097579956,0.25214242935180664,91.43000030517578,99.86000061035156,7,2202570,5193,44.05302381515503
20,0.2248789668083191,0.2532467544078827,91.29000091552734,99.82999420166016,2,2202570,46,44.95415210723877
21,0.22170473635196686,0.25279155373573303,91.3499984741211,99.8499984741211,2,2202570,1299,46.780786991119385
22,0.22220361232757568,0.2518218755722046,91.48999786376953,99.82999420166016,1,2202570,19,42.9245662689209
23,0.2214101105928421,0.25234758853912354,91.40999603271484,99.80999755859375,1,2202570,34,44.280022382736206
24,0.22259776294231415,0.2532013952732086,91.36000061035156,99.83999633789062,0,2202570,10,46.78589177131653
25,0.21862491965293884,0.2523411810398102,91.38999938964844,99.83999633789062,3,2202570,73,45.49780869483948
26,0.2160840928554535,0.2503628432750702,91.40999603271484,99.86000061035156,3,2202570,55,47.30486345291138
27,0.22218133509159088,0.2567034661769867,91.16999816894531,99.80999755859375,1,2202570,19,46.953028202056885
28,0.21889036893844604,0.25065702199935913,91.45999908447266,99.8499984741211,2,2202570,1299,46.49915289878845
29,0.21793662011623383,0.25101491808891296,91.54999542236328,99.8499984741211,4,2202570,82,43.08448314666748
30,0.2183535397052765,0.25238627195358276,91.56999969482422,99.86000061035156,4,2202570,2606,44.845921993255615
31,0.2186441570520401,0.24960662424564362,91.5199966430664,99.8499984741211,3,2202570,1326,47.54588007926941
32,0.21834737062454224,0.25086283683776855,91.41999816894531,99.83999633789062,5,2202570,1362,45.120455265045166
33,0.2216392457485199,0.2517247200012207,91.58999633789062,99.8499984741211,4,2202570,82,43.13998818397522
34,0.21808482706546783,0.25167444348335266,91.55999755859375,99.83999633789062,5,2202570,109,43.10081505775452
35,0.21724700927734375,0.2491185963153839,91.66999816894531,99.8499984741211,2,2202570,46,45.04570126533508
