epoch,train_loss,test_loss,acc1,acc5,unfrozen_neurons,total_params,unfrozen_params,epoch_time
1,2.026104688644409,1.4883893728256226,50.45000076293945,90.68999481201172,8533,2202570,571434,50.77316379547119
2,1.3486050367355347,1.0804033279418945,64.86000061035156,95.18000030517578,8533,2202570,571434,52.516276597976685
3,0.9859714508056641,0.8050553798675537,73.13999938964844,97.62999725341797,8533,2202570,941223,53.893665075302124
4,0.8032405376434326,0.6914296746253967,76.7699966430664,98.47000122070312,8533,2202570,1061529,52.250911712646484
5,0.7052838802337646,0.6269997358322144,78.90999603271484,98.73999786376953,8533,2202570,989141,52.51721143722534
6,0.648735761642456,0.5811348557472229,80.4000015258789,98.88999938964844,8533,2202570,1072921,52.68869471549988
7,0.5937401056289673,0.5394123196601868,81.6500015258789,99.04000091552734,8533,2202570,1019607,52.82610821723938
8,0.5595384836196899,0.5145033001899719,82.41999816894531,99.22999572753906,8533,2202570,1082847,53.063807010650635
9,0.5305436253547668,0.4913243055343628,82.91999816894531,99.2699966430664,8533,2202570,985749,53.28747892379761
10,0.49574023485183716,0.46673503518104553,84.18999481201172,99.37999725341797,8533,2202570,1107766,53.376580476760864
11,0.46685007214546204,0.4396623969078064,84.86000061035156,99.44999694824219,8533,2202570,1048131,53.38620948791504
12,0.43628719449043274,0.4157980680465698,85.70999908447266,99.52999877929688,8533,2202570,996984,53.93380641937256
13,0.4128763973712921,0.39461851119995117,86.54999542236328,99.57999420166016,8533,2202570,1033897,53.47825646400452
14,0.3879624903202057,0.38684457540512085,86.79000091552734,99.56999969482422,8533,2202570,1050420,53.467071533203125
15,0.372450590133667,0.371437132358551,87.38999938964844,99.5999984741211,8533,2202570,958946,54.00787353515625
16,0.34972140192985535,0.3599878251552582,87.8699951171875,99.62999725341797,8533,2202570,1067155,53.42192459106445
17,0.3342440128326416,0.34897372126579285,88.33999633789062,99.63999938964844,8533,2202570,1151670,53.57114100456238
18,0.3158329427242279,0.33356940746307373,88.90999603271484,99.66999816894531,8533,2202570,1218050,54.3799614906311
19,0.2995568513870239,0.3291545510292053,88.93000030517578,99.68000030517578,8533,2202570,1275008,53.89971661567688
20,0.28397366404533386,0.31547003984451294,89.29000091552734,99.68999481201172,8533,2202570,1316313,53.96830463409424
21,0.27273762226104736,0.315111368894577,89.33999633789062,99.72999572753906,8533,2202570,1317883,54.4469678401947
22,0.261466920375824,0.3032604455947876,89.72000122070312,99.72999572753906,8533,2202570,1302020,54.436726808547974
23,0.2513173222541809,0.30129528045654297,89.86000061035156,99.73999786376953,8533,2202570,1295445,54.59984350204468
24,0.24055878818035126,0.2965225279331207,90.13999938964844,99.72000122070312,8533,2202570,1254422,54.865010261535645
25,0.23243489861488342,0.2898831069469452,90.25,99.73999786376953,8533,2202570,1285720,54.060765504837036
26,0.22047773003578186,0.28513482213020325,90.40999603271484,99.79000091552734,8533,2202570,1285947,54.88837194442749
27,0.2131761759519577,0.2821502387523651,90.47999572753906,99.79999542236328,8533,2202570,1320346,53.0047492980957
28,0.20696769654750824,0.2783984839916229,90.43999481201172,99.79000091552734,8533,2202570,1252696,52.79197931289673
29,0.1982279121875763,0.280901163816452,90.6199951171875,99.79000091552734,8533,2202570,1246415,53.511390924453735
30,0.1928969919681549,0.274549663066864,90.79000091552734,99.81999969482422,8533,2202570,1286746,53.08775210380554
31,0.1864171028137207,0.2705649733543396,91.05999755859375,99.79999542236328,8533,2202570,1305615,52.64957404136658
32,0.17813727259635925,0.2680688798427582,91.04000091552734,99.80999755859375,8533,2202570,1282786,53.66467237472534
33,0.17062591016292572,0.2688257396221161,91.40999603271484,99.80999755859375,8533,2202570,1232975,54.67694020271301
34,0.1635364294052124,0.26522764563560486,91.33999633789062,99.80999755859375,8533,2202570,1282626,54.06681299209595
35,0.16168639063835144,0.26384419202804565,91.48999786376953,99.79999542236328,8533,2202570,1296723,52.89519929885864
36,0.158121258020401,0.2631702125072479,91.43999481201172,99.80999755859375,8533,2202570,1303489,52.53188395500183
37,0.14939315617084503,0.2590773403644562,91.58999633789062,99.79000091552734,8533,2202570,1276222,53.106815576553345
38,0.14778834581375122,0.2633725106716156,91.58999633789062,99.82999420166016,8533,2202570,1251510,53.25623965263367
39,0.1393050253391266,0.25994908809661865,91.61000061035156,99.7699966430664,8533,2202570,1135667,53.417139768600464
40,0.13277052342891693,0.25740063190460205,91.8499984741211,99.80999755859375,8533,2202570,1125136,53.97741341590881
41,0.13323502242565155,0.2601070702075958,91.63999938964844,99.8499984741211,8533,2202570,1134094,53.49344301223755
42,0.12436644732952118,0.25901296734809875,91.8699951171875,99.86000061035156,8533,2202570,1115273,53.78452968597412
43,0.12243165075778961,0.25829872488975525,92.00999450683594,99.83999633789062,8533,2202570,1119113,53.46595788002014
44,0.11890875548124313,0.2593396306037903,91.8699951171875,99.81999969482422,8533,2202570,1180039,53.35827374458313
45,0.10800818353891373,0.2573032081127167,91.86000061035156,99.8699951171875,8533,2202570,1241992,53.30570387840271
46,0.11271970719099045,0.2605043053627014,91.93000030517578,99.8499984741211,8533,2202570,1239518,53.22967505455017
47,0.10873091220855713,0.25807082653045654,91.95999908447266,99.86000061035156,8533,2202570,1261636,52.83633804321289
48,0.10270491242408752,0.2578898072242737,92.0,99.8499984741211,8533,2202570,1193493,53.699623823165894
49,0.10189226269721985,0.25762900710105896,92.15999603271484,99.87999725341797,8533,2202570,1113761,53.55508589744568
50,0.09906894713640213,0.25776541233062744,92.0199966430664,99.86000061035156,8533,2202570,1194898,53.19285798072815
51,0.09484599530696869,0.2571341395378113,91.9000015258789,99.87999725341797,8533,2202570,1248387,53.17908263206482
52,0.0926768109202385,0.26008209586143494,91.93999481201172,99.87999725341797,8533,2202570,1190285,52.582332372665405
53,0.089074045419693,0.25807106494903564,92.1500015258789,99.86000061035156,8533,2202570,1216723,53.9067120552063
54,0.08794507384300232,0.2625603973865509,92.13999938964844,99.8499984741211,8533,2202570,1288210,52.553330183029175
55,0.08453637361526489,0.25979185104370117,92.3699951171875,99.86000061035156,8533,2202570,1127641,53.188721656799316
56,0.08239921927452087,0.2572237551212311,92.29999542236328,99.8699951171875,8533,2202570,1069889,53.805886030197144
57,0.07976909726858139,0.25911426544189453,92.52999877929688,99.8699951171875,8533,2202570,1099119,52.98555636405945
58,0.07803535461425781,0.2584792375564575,92.29000091552734,99.86000061035156,8533,2202570,1107399,55.43254280090332
59,0.07500220090150833,0.2625733017921448,92.31999969482422,99.82999420166016,8533,2202570,1116214,55.50839400291443
60,0.07088141143321991,0.2630489468574524,92.25,99.8499984741211,8533,2202570,1289419,53.90913772583008
61,0.07163229584693909,0.2658344507217407,92.0999984741211,99.8499984741211,8533,2202570,1236062,54.267151832580566
62,0.06862346827983856,0.26415789127349854,92.15999603271484,99.8699951171875,8533,2202570,1275671,52.76689028739929
63,0.0665476843714714,0.2629750072956085,92.29000091552734,99.8699951171875,8533,2202570,1130776,53.841495752334595
64,0.06456401199102402,0.2626585066318512,92.3499984741211,99.83999633789062,8533,2202570,1071064,55.12793684005737
65,0.061619993299245834,0.26449891924858093,92.4000015258789,99.8699951171875,8533,2202570,1073165,54.66826820373535
66,0.062082212418317795,0.26512619853019714,92.33999633789062,99.87999725341797,8533,2202570,1153766,52.955381631851196
67,0.06040913239121437,0.2702246904373169,92.54000091552734,99.8699951171875,8533,2202570,1208942,53.23190355300903
68,0.06008772924542427,0.2659309208393097,92.45999908447266,99.83999633789062,8533,2202570,1249844,52.67259073257446
69,0.05627205967903137,0.2682208716869354,92.48999786376953,99.8499984741211,8533,2202570,1270535,52.66791105270386
70,0.05458621308207512,0.26966592669487,92.44999694824219,99.8699951171875,8533,2202570,1286924,52.64311933517456
71,0.05397113785147667,0.2690007984638214,92.47999572753906,99.8499984741211,8533,2202570,1289214,53.72725057601929
72,0.053959667682647705,0.2700728178024292,92.52999877929688,99.8499984741211,8533,2202570,1253752,52.649901151657104
73,0.050230927765369415,0.2725624144077301,92.36000061035156,99.86000061035156,8533,2202570,1229829,54.354055404663086
74,0.05055302381515503,0.2700549364089966,92.5999984741211,99.86000061035156,8533,2202570,1229386,52.51084494590759
75,0.04822038114070892,0.2707756459712982,92.47000122070312,99.86000061035156,8533,2202570,1310333,53.07658886909485
76,0.045631226152181625,0.2718954384326935,92.47000122070312,99.8699951171875,8533,2202570,1267916,53.264997243881226
77,0.04655952751636505,0.27227893471717834,92.40999603271484,99.8699951171875,8533,2202570,1188890,52.72106647491455
78,0.04709892347455025,0.27671679854393005,92.58999633789062,99.8699951171875,8533,2202570,1136079,53.471611976623535
79,0.044896773993968964,0.2759723961353302,92.56999969482422,99.83999633789062,8533,2202570,1206385,53.07124400138855
80,0.04305684193968773,0.27586767077445984,92.65999603271484,99.88999938964844,8533,2202570,1309643,53.77999520301819
81,0.041933752596378326,0.27834248542785645,92.43999481201172,99.87999725341797,8533,2202570,1255044,54.73266267776489
82,0.039593908935785294,0.27951231598854065,92.62999725341797,99.8699951171875,8533,2202570,1222470,53.60553503036499
