epoch,train_loss,test_loss,acc1,acc5,unfrozen_neurons,total_params,unfrozen_params,epoch_time
1,1.8358898162841797,1.4362434148788452,46.89999771118164,92.29999542236328,17066,2202570,2202570,55.964537620544434
2,1.3588447570800781,1.2363932132720947,55.279998779296875,94.45999908447266,17066,2202570,2202570,54.92737293243408
3,1.0749539136886597,0.99017333984375,64.5999984741211,96.73999786376953,17066,2202570,2202570,55.11553478240967
4,0.9949721097946167,0.9383478164672852,66.5,97.12999725341797,17066,2202570,2202570,55.02540898323059
5,0.9456743001937866,0.9171721935272217,67.13999938964844,97.25,17066,2202570,2202570,55.156193256378174
