epoch,train_loss,test_loss,acc1,acc5,unfrozen_neurons,total_params,unfrozen_params,epoch_time
1,1.1575052738189697,0.5924226641654968,79.37999725341797,98.91999816894531,17066,2202570,2202570,270.0537898540497
2,0.565072774887085,0.43185481429100037,85.1500015258789,99.51000213623047,17066,2202570,2202570,258.6723484992981
3,0.4397179186344147,0.3626321852207184,87.22000122070312,99.6500015258789,17066,2202570,2202570,247.62124919891357
4,0.37460964918136597,0.32268935441970825,88.52999877929688,99.75,17066,2202570,2202570,244.58355236053467
5,0.33099523186683655,0.3032078742980957,89.58999633789062,99.77999877929688,17066,2202570,2202570,251.79076266288757
